Distance,Type,Name
323.0555555555556,apic,feng_typeA[0].apic[0](0.537037)
12.5,soma,feng_typeA[0].soma[0](0.5)
364.1666666666667,apic,feng_typeA[0].apic[0](0.611111)
323.0555555555556,apic,feng_typeA[0].apic[0](0.537037)
261.3888888888889,apic,feng_typeA[0].apic[0](0.425926)
384.72222222222223,apic,feng_typeA[0].apic[0](0.648148)
261.3888888888889,apic,feng_typeA[0].apic[0](0.425926)
528.6111111111111,apic,feng_typeA[0].apic[0](0.907407)
569.7222222222223,apic,feng_typeA[0].apic[0](0.981481)
240.83333333333334,apic,feng_typeA[0].apic[0](0.388889)
12.5,soma,feng_typeA[0].soma[0](0.5)
323.0555555555556,apic,feng_typeA[0].apic[0](0.537037)
12.5,soma,feng_typeA[0].soma[0](0.5)
